Time,Arduino_hall_probe/TEMP:TEMP,time,mag
1746225306,21.37,1746225306,2.4542
1746225308,25.32,1746225308,2.457
1746225310,21.37,1746225310,2.4521
1746225312,25.45,1746225312,2.4626
1746225314,21.27,1746225314,2.4591
1746225316,21.21,1746225316,2.4402
1746225318,21.24,1746225318,2.4717
1746225320,21.46,1746225320,2.4759
1746225322,21.36,1746225322,2.4465
1746225324,21.36,1746225324,2.4696
1746225326,21.29,1746225326,2.4759
1746225328,21.27,1746225328,2.4598
1746225330,25.4,1746225330,2.4514
1746225332,21.21,1746225332,2.4528
1746225334,21.26,1746225334,2.4591
1746225336,25.45,1746225336,2.4486
1746225338,21.26,1746225338,2.4535
1746225340,21.27,1746225340,2.4612
1746225342,25.32,1746225342,2.4626
1746225344,25.38,1746225344,2.4521
1746225346,25.38,1746225346,2.471
1746225348,21.31,1746225348,2.4584
1746225350,25.3,1746225350,2.4661
1746225352,25.45,1746225352,2.4773
1746225354,25.22,1746225354,2.478
1746225356,21.29,1746225356,2.4717
1746225358,21.26,1746225358,2.4577
1746225360,25.35,1746225360,2.4605
1746225362,25.4,1746225362,2.4759
1746225364,21.27,1746225364,2.4535
1746225366,25.42,1746225366,2.4507
1746225368,25.37,1746225368,2.4605
1746225370,25.43,1746225370,2.4724
1746225372,25.38,1746225372,2.4605
1746225374,21.22,1746225374,2.4682
1746225376,25.32,1746225376,2.4689
1746225378,21.32,1746225378,2.4409
1746225380,25.28,1746225380,2.4752
1746225382,25.35,1746225382,2.464
1746225384,25.1,1746225384,2.4605
1746225386,25.23,1746225386,2.4703
1746225388,25.28,1746225388,2.4591
1746225390,25.28,1746225390,2.4689
1746225392,25.27,1746225392,2.4528
1746225394,25.45,1746225394,2.4633
1746225396,25.3,1746225396,2.4584
1746225398,25.43,1746225398,2.4661
1746225400,25.45,1746225400,2.4899
1746225402,25.35,1746225402,2.4605
1746225404,25.4,1746225404,2.4731
1746225406,25.37,1746225406,2.4836
1746225408,25.35,1746225408,2.464
1746225410,25.37,1746225410,2.4696
1746225412,25.33,1746225412,2.457
1746225414,25.35,1746225414,2.4633
1746225416,25.32,1746225416,2.4703
1746225418,25.22,1746225418,2.4773
1746225420,25.27,1746225420,2.464
1746225422,25.37,1746225422,2.4521
1746225424,25.32,1746225424,2.4731
1746225426,25.23,1746225426,2.4717
1746225428,25.32,1746225428,2.4535
1746225430,25.3,1746225430,2.4493
1746225432,25.33,1746225432,2.4752
1746225434,25.25,1746225434,2.443
1746225436,25.08,1746225436,2.4444
1746225438,25.18,1746225438,2.4983
1746225440,25.27,1746225440,2.45
1746225442,25.42,1746225442,2.4591
1746225444,25.3,1746225444,2.4542
1746225446,25.17,1746225446,2.4493
1746225448,21.21,1746225448,2.4689
1746225450,25.2,1746225450,2.4794
1746225452,25.15,1746225452,2.4444
1746225454,25.27,1746225454,2.4577
1746225456,25.33,1746225456,2.4668
1746225458,25.2,1746225458,2.4696
1746225460,25.23,1746225460,2.4598
1746225462,25.25,1746225462,2.4759
1746225464,25.32,1746225464,2.4612
1746225466,25.32,1746225466,2.4444
1746225468,25.28,1746225468,2.4486
1746225470,25.38,1746225470,2.4633
1746225472,25.42,1746225472,2.4626
1746225474,25.05,1746225474,2.4584
1746225476,25.33,1746225476,2.4577
1746225478,25.35,1746225478,2.4717
1746225480,25.32,1746225480,2.4801
1746225482,25.28,1746225482,2.4815
1746225484,25.07,1746225484,2.4696
1746225486,25.27,1746225486,2.4311
