in s,C3 in V
-9.7089200E-05,6.83594E-03
-9.7080000E-05,6.83594E-03
-9.7070800E-05,4.58984E-02
-9.7061600E-05,1.66016E-02
-9.7052400E-05,6.83594E-03
-9.7043200E-05,6.83594E-03
-9.7034000E-05,3.61328E-02
-9.7024800E-05,1.66016E-02
-9.7015600E-05,2.63672E-02
-9.7006400E-05,2.63672E-02
-9.6997200E-05,2.63672E-02
-9.6988000E-05,3.61328E-02
-9.6978800E-05,2.63672E-02
-9.6969600E-05,5.56641E-02
-9.6960400E-05,3.61328E-02
-9.6951200E-05,3.61328E-02
-9.6942000E-05,6.83594E-03
-9.6932800E-05,2.63672E-02
-9.6923600E-05,4.58984E-02
-9.6914400E-05,2.63672E-02
-9.6905200E-05,3.61328E-02
-9.6896000E-05,-2.92969E-03
-9.6886800E-05,-1.26953E-02
-9.6877600E-05,6.83594E-03
-9.6868400E-05,3.61328E-02
-9.6859200E-05,2.63672E-02
-9.6850000E-05,4.58984E-02
-9.6840800E-05,1.66016E-02
-9.6831600E-05,-2.92969E-03
-9.6822400E-05,4.58984E-02
-9.6813200E-05,6.83594E-03
-9.6804000E-05,3.61328E-02
-9.6794800E-05,6.83594E-03
-9.6785600E-05,6.54297E-02
-9.6776400E-05,-1.26953E-02
-9.6767200E-05,4.58984E-02
-9.6758000E-05,6.83594E-03
-9.6748800E-05,5.56641E-02
-9.6739600E-05,-2.92969E-03
-9.6730400E-05,1.66016E-02
-9.6721200E-05,6.54297E-02
-9.6712000E-05,3.61328E-02
-9.6702800E-05,2.63672E-02
-9.6693600E-05,1.66016E-02
-9.6684400E-05,6.83594E-03
-9.6675200E-05,6.54297E-02
-9.6666000E-05,6.83594E-03
-9.6656800E-05,-2.24609E-02
-9.6647600E-05,1.66016E-02
-9.6638400E-05,2.63672E-02
-9.6629200E-05,-2.92969E-03
-9.6620000E-05,5.56641E-02
-9.6610800E-05,6.54297E-02
-9.6601600E-05,6.83594E-03
-9.6592400E-05,1.66016E-02
-9.6583200E-05,2.63672E-02
-9.6574000E-05,6.83594E-03
-9.6564800E-05,6.83594E-03
-9.6555600E-05,4.58984E-02
-9.6546400E-05,6.83594E-03
-9.6537200E-05,-2.24609E-02
-9.6528000E-05,2.63672E-02
-9.6518800E-05,-2.92969E-03
-9.6509600E-05,4.58984E-02
-9.6500400E-05,-2.92969E-03
-9.6491200E-05,1.66016E-02
-9.6482000E-05,2.63672E-02
-9.6472800E-05,5.56641E-02
-9.6463600E-05,6.83594E-03
-9.6454400E-05,2.63672E-02
-9.6445200E-05,-2.92969E-03
-9.6436000E-05,1.66016E-02
-9.6426800E-05,2.63672E-02
-9.6417600E-05,3.61328E-02
-9.6408400E-05,5.56641E-02
-9.6399200E-05,1.66016E-02
-9.6390000E-05,-2.92969E-03
-9.6380800E-05,-2.92969E-03
-9.6371600E-05,1.66016E-02
-9.6362400E-05,3.61328E-02
-9.6353200E-05,6.54297E-02
-9.6344000E-05,1.66016E-02
-9.6334800E-05,3.61328E-02
-9.6325600E-05,2.63672E-02
-9.6316400E-05,4.58984E-02
-9.6307200E-05,7.51953E-02
-9.6298000E-05,2.63672E-02
-9.6288800E-05,2.63672E-02
